title_1	year_1	title_2	year_2	rating
avengers: infinity war	2018	star wars: the last jedi	2017	OK
batman	1989	the dark knight	2008	OK
finding dory	2016	minions	2015	OK
good time	2017	out of the furnace	2013	OK
aquaman	2018	joker	2019	OK
awakenings	1990	one flew over the cuckoo's nest	1975	OK
die hard	1988	live free or die hard	2007	OK
interstellar	2014	the martian	2015	OK
furious 7	2015	the fate of the furious	2017	OK
indiana jones and the last crusade	1989	raiders of the lost ark	1981	OK
beauty and the beast	2014	goodbye first love	2011	NOT_OK
road to perdition	2002	the godfather	1972	NOT_OK
godzilla	1998	godzilla	2014	OK
ashes and diamonds	1958	knife in the water	1962	NOT_OK
talk to her	2002	the motorcycle diaries	2004	NOT_OK
the hobbit: the desolation of smaug	2013	the lord of the rings: the fellowship of the ring	2001	OK
lock up	1989	the shawshank redemption	1994	OK
need for speed	2014	rush	2013	OK
amadeus	1984	gladiator	2000	NOT_OK
jumanji	1995	jumanji: welcome to the jungle	2017	OK
muppets most wanted	2014	rush	2013	NOT_OK
m	1931	the lives of others	2006	NOT_OK
captain america: the winter soldier	2014	guardians of the galaxy	2014	OK
pirates of the caribbean: at world's end	2007	titanic	1997	NOT_OK
annie hall	1977	manhattan	1979	OK
deadpool	2016	logan	2017	OK
double indemnity	1944	rear window	1954	OK
heaven's gate	1980	the great dictator	1940	NOT_OK
100 bloody acres	2012	1917	2019	NOT_OK
fort saganne	1984	the passion of joan of arc	1928	NOT_OK
loser	2000	the green mile	1999	NOT_OK
mission: impossible	1996	mission: impossible iii	2006	OK
american gigolo	1980	double indemnity	1944	OK
2001: a space odyssey	1968	star trek iv: the voyage home	1986	NOT_OK
all the money in the world	2017	the green mile	1999	NOT_OK
apocalypse now	1979	gone with the wind	1939	NOT_OK
hard eight	1996	the green mile	1999	NOT_OK
one flew over the cuckoo's nest	1975	the last detail	1973	OK
all quiet on the western front	1930	the blue max	1966	OK
moonlight	2016	the florida project	2017	OK
apocalypse now	1979	born on the fourth of july	1989	OK
avengers: endgame	2019	spider-man: far from home	2019	OK
bicycle thieves	1948	la notte	1961	OK
portrait of a lady on fire	2019	the diving bell and the butterfly	2007	NOT_OK
star wars: the force awakens	2015	star wars: the last jedi	2017	OK
beauty and the beast	2014	ernest & celestine	2012	NOT_OK
annie hall	1977	the apartment	1960	OK
star wars	1977	the empire strikes back	1980	OK
t2 trainspotting	2017	the grand budapest hotel	2014	NOT_OK
american pie	1999	american wedding	2003	OK
star wars	1977	star wars: the force awakens	2015	OK
arrietty	2010	spirited away	2001	OK
inspector gadget	1999	pocahontas	1995	OK
the book thief	2013	the pianist	2002	OK
metropolis	1927	woman in the moon	1929	OK
swordfish	2001	the da vinci code	2006	OK
violeta went to heaven	2011	wild tales	2014	NOT_OK
forgetting sarah marshall	2008	jumanji	1995	NOT_OK
kagemusha	1980	ran	1985	OK
2012	2009	man of steel	2013	OK
blade runner	1982	the matrix	1999	OK
ponyo	2008	spirited away	2001	OK
maps to the stars	2014	the hunt	2012	NOT_OK
amadeus	1984	forrest gump	1994	NOT_OK
batman & robin	1997	the dark knight rises	2012	OK
rocky	1976	rocky v	1990	OK
bohemian rhapsody	2018	green book	2018	OK
avengers: endgame	2019	captain marvel	2019	OK
2001: a space odyssey	1968	planet of the apes	1968	OK
joker	2019	watchmen	2009	OK
12 angry men	1957	deliverance	1972	NOT_OK
taxi driver	1976	the conversation	1974	OK
boyhood	2014	the hunt	2012	OK
the a-team	2010	twister	1996	OK
john wick	2014	terminator 3: rise of the machines	2003	OK
seven brides for seven brothers	1954	the blues brothers	1980	NOT_OK
annie hall	1977	being john malkovich	1999	NOT_OK
atomic blonde	2017	red sparrow	2018	OK
indiana jones and the kingdom of the crystal skull	2008	raiders of the lost ark	1981	OK
broken arrow	1996	top gun	1986	OK
mission: impossible	1996	the bourne legacy	2012	OK
double indemnity	1944	psycho	1960	OK
king kong	2005	pirates of the caribbean: the curse of the black pearl	2003	NOT_OK
12 years a slave	2013	her	2013	OK
the discreet charm of the bourgeoisie	1972	the rules of the game	1939	OK
ashes and diamonds	1958	water for elephants	2011	NOT_OK
iron man	2008	the avengers	2012	OK
interstellar	2014	the avengers	2012	NOT_OK
blade runner	1982	minority report	2002	NOT_OK
bohemian rhapsody	2018	the greatest showman	2017	OK
the conjuring 2	2016	us	2019	OK
rambo	2008	the expendables 2	2012	OK
the gold rush	1925	the pilgrim	1923	OK
blow	2001	it's a wonderful life	1946	NOT_OK
batman	1989	batman begins	2005	OK
aquaman	2018	black panther	2018	OK
armageddon	1998	hollow man	2000	OK
george of the jungle	1997	it's a wonderful life	1946	NOT_OK
drive	2011	nightcrawler	2014	OK
the lord of the rings: the two towers	2002	transformers	2007	NOT_OK
the circus	1928	the gold rush	1925	OK
bicycle thieves	1948	nights of cabiria	1957	OK
the hobbit: an unexpected journey	2012	the hobbit: the desolation of smaug	2013	OK
avengers: infinity war	2018	spider-man: far from home	2019	OK
the motorcycle diaries	2004	tie me up! tie me down!	1990	NOT_OK
all quiet on the western front	1930	the bridge at remagen	1969	OK
heaven can wait	1978	some like it hot	1959	NOT_OK
spartacus	1960	the great dictator	1940	NOT_OK
nightcrawler	2014	now you see me	2013	NOT_OK
terminator genisys	2015	the terminator	1984	OK
a girl walks home alone at night	2014	a separation	2011	NOT_OK
captain marvel	2019	the avengers	2012	OK
destiny	1921	metropolis	1927	NOT_OK
augustine	2012	portrait of a lady on fire	2019	OK
the exorcist	1973	vertigo	1958	OK
the birth of a nation	1915	the hessian renegades	1909	OK
captain america: civil war	2016	iron man	2008	OK
ted	2012	the lone ranger	2013	NOT_OK
incendies	2010	the kid with a bike	2011	OK
aquaman	2018	thor: ragnarok	2017	OK
12 angry men	1957	the asphalt jungle	1950	OK
hacksaw ridge	2016	jojo rabbit	2019	NOT_OK
star wars: the force awakens	2015	thor: the dark world	2013	OK
city lights	1931	the powerpuff girls movie	2002	NOT_OK
good time	2017	kin	2018	NOT_OK
star wars: the last jedi	2017	war for the planet of the apes	2017	NOT_OK
michael clayton	2007	the godfather	1972	NOT_OK
saving private ryan	1998	u-571	2000	OK
1917	2019	white sun	2016	NOT_OK
avatar	2009	district 9	2009	OK
dillinger	1973	the sting	1973	OK
beetlejuice	1988	scary movie 2	2001	NOT_OK
sinister	2012	the conjuring	2013	OK
talk to her	2002	wild tales	2014	NOT_OK
aliens	1986	cowboys & aliens	2011	OK
first reformed	2017	michael clayton	2007	NOT_OK
pulp fiction	1994	the truman show	1998	OK
pirates of the caribbean: the curse of the black pearl	2003	titanic	1997	NOT_OK
toy story 3	2010	toy story 4	2019	OK
amadeus	1984	gone with the wind	1939	NOT_OK
city lights	1931	dick	1999	NOT_OK
avengers: infinity war	2018	war for the planet of the apes	2017	NOT_OK
creed	2015	rocky	1976	OK
mission: impossible	1996	mission: impossible 2	2000	OK
toy story	1995	toy story 3	2010	OK
aquaman	2018	thor	2011	OK
logan	2017	x-men: days of future past	2014	OK
avengers: infinity war	2018	captain marvel	2019	OK
john wick	2014	knowing	2009	NOT_OK
the dark knight	2008	the dark knight rises	2012	OK
captain marvel	2019	star wars: the last jedi	2017	OK
king kong	2005	titanic	1997	NOT_OK
insomnia	2002	nightcrawler	2014	OK
drive	2011	the wolf of wall street	2013	NOT_OK
minions	2015	the lego movie	2014	OK
the last castle	2001	the shawshank redemption	1994	OK
children of men	2006	x-men: the last stand	2006	NOT_OK
1917	2019	the artist	2011	NOT_OK
batman	1989	batman & robin	1997	OK
pet sematary	2019	us	2019	OK
a prophet	2009	incendies	2010	NOT_OK
mary and max	2009	where the wild things are	2009	NOT_OK
rear window	1954	the conversation	1974	OK
inside man	2006	insomnia	2002	OK
forrest gump	1994	the curious case of benjamin button	2008	NOT_OK
apocalypse now	1979	platoon	1986	OK
2001: a space odyssey	1968	star trek: the motion picture	1979	OK
big fish	2003	pretty woman	1990	NOT_OK
american pie	1999	american pie 2	2001	OK
brokeback mountain	2005	sideways	2004	OK
avengers: endgame	2019	black panther	2018	OK
raging bull	1980	rocky	1976	OK
facing windows	2003	nights of cabiria	1957	NOT_OK
hansel & gretel: witch hunters	2013	the grand budapest hotel	2014	NOT_OK
avengers: endgame	2019	the avengers	2012	OK
inception	2010	watchmen	2009	OK
12 angry men	1957	primal fear	1996	OK
the apartment	1960	under the yum yum tree	1963	OK
deadpool	2016	x-men: days of future past	2014	OK
the lord of the rings: the return of the king	2003	transformers: revenge of the fallen	2009	NOT_OK
terminator 2: judgment day	1991	the terminator	1984	OK
toy story	1995	toy story 4	2019	OK
brokeback mountain	2005	titanic	1997	OK
life of pi	2012	the walk	2015	NOT_OK
dark skies	2013	us	2019	OK
forrest gump	1994	pretty woman	1990	NOT_OK
deep blue sea	1999	jaws	1975	OK
the greatest showman	2017	whiplash	2014	NOT_OK
casablanca	1942	dangerous moonlight	1941	OK
amores perros	2000	the headless woman	2008	OK
avengers: infinity war	2018	star wars: the force awakens	2015	OK
bright star	2009	life of pi	2012	NOT_OK
bohemian rhapsody	2018	straight outta compton	2015	OK
the conjuring	2013	the conjuring 2	2016	OK
logan	2017	x-men: apocalypse	2016	OK
rosemary's baby	1968	the exorcist	1973	OK
pocahontas	1995	the lone ranger	2013	NOT_OK
faust	1926	metropolis	1927	OK
dear john	2010	pocahontas	1995	NOT_OK
frozen	2013	shrek	2001	NOT_OK
pulp fiction	1994	the wolf of wall street	2013	NOT_OK
joker	2019	king arthur: legend of the sword	2017	NOT_OK
men in black	1997	men in black ii	2002	OK
ashes and diamonds	1958	blind chance	1987	OK
ben-hur	1959	gone with the wind	1939	NOT_OK
skyfall	2012	spectre	2015	OK
frozen	2013	wreck-it ralph	2012	NOT_OK
the lord of the rings: the fellowship of the ring	2001	the lord of the rings: the return of the king	2003	OK
aliens	1986	district 9	2009	OK
eternal sunshine of the spotless mind	2004	her	2013	OK
a streetcar named desire	1951	one flew over the cuckoo's nest	1975	NOT_OK
happy death day	2017	the lighthouse	2019	NOT_OK
beauty and the beast	2014	laurence anyways	2012	NOT_OK
the lord of the rings: the return of the king	2003	transformers	2007	NOT_OK
city of god	2002	city of men	2007	OK
die hard	1988	die hard with a vengeance	1995	OK
13 assassins	2010	ran	1985	OK
ace ventura: pet detective	1994	twister	1996	NOT_OK
arrival	2016	gravity	2013	OK
finding dory	2016	toy story 4	2019	OK
city of god	2002	elite squad: the enemy within	2010	OK
inglourious basterds	2009	the great escape	1963	OK
satan met a lady	1936	the maltese falcon	1941	OK
men in black	1997	men in black 3	2012	OK
cool hand luke	1967	the shawshank redemption	1994	OK
princess mononoke	1997	tales from earthsea	2006	OK
in the heat of the night	1967	touch of evil	1958	OK
enemy	2013	saw	2004	NOT_OK
double indemnity	1944	touch of evil	1958	OK
an officer and a gentleman	1982	top gun	1986	OK
armageddon	1998	battlefield earth	2000	OK
black panther	2018	jojo rabbit	2019	NOT_OK
all quiet on the western front	1930	platoon	1986	OK
children of men	2006	x-men: first class	2011	NOT_OK
star wars	1977	star wars: the last jedi	2017	OK
the maltese falcon	1941	touch of evil	1958	OK
after the wedding	2006	the hunt	2012	OK
blade runner 2049	2017	maze runner: the death cure	2018	OK
frenzy	1972	rear window	1954	OK
jaws	1975	poseidon	2006	OK
mary and max	2009	there's something about mary	1998	NOT_OK
jack ryan: shadow recruit	2014	red sparrow	2018	OK
after earth	2013	man of steel	2013	OK
anatomy	2000	m	1931	NOT_OK
beetlejuice	1988	the war of the roses	1989	OK
die hard	1988	the matrix	1999	NOT_OK
chinatown	1974	double indemnity	1944	OK
the blues brothers	1980	the brothers bloom	2008	OK
spider-man	2002	the amazing spider-man 2	2014	OK
a battle of wits	2006	hero	2002	OK
guardians of the galaxy	2014	thor: the dark world	2013	OK
brave	2012	frozen	2013	NOT_OK
green lantern	2011	man of steel	2013	OK
apocalypse now	1979	full metal jacket	1987	OK
the avengers	2012	thor: the dark world	2013	OK
ran	1985	seven samurai	1954	OK
back to the future	1985	back to the future part ii	1989	OK
inception	2010	the hunger games	2012	NOT_OK
godzilla	1998	jurassic park	1993	OK
avengers: endgame	2019	the lighthouse	2019	NOT_OK
casino royale	2006	spectre	2015	OK
spider-man	2002	spider-man 3	2007	OK
jumanji	1995	office space	1999	NOT_OK
iron man 3	2013	the hunger games	2012	NOT_OK
the exorcist	1973	the silence of the lambs	1991	OK
casino royale	2006	skyfall	2012	OK
hero	2002	the monkey king	2014	NOT_OK
fast five	2011	furious 7	2015	OK
bewitched	2005	brokeback mountain	2005	NOT_OK
paranormal activity	2007	the conjuring	2013	OK
curse of the golden flower	2006	hero	2002	OK
psycho	1960	psycho iii	1986	OK
back to the future	1985	scary movie 3	2003	NOT_OK
spider-man	2002	the amazing spider-man	2012	OK
jurassic park	1993	jurassic world: fallen kingdom	2018	OK
13 assassins	2010	seven samurai	1954	OK
mad max 2	1981	mad max: fury road	2015	OK
mission: impossible 2	2000	twister	1996	OK
howl's moving castle	2004	princess mononoke	1997	OK
guardians of the galaxy	2014	iron man	2008	OK
transformers	2007	transformers: revenge of the fallen	2009	OK
hansel & gretel: witch hunters	2013	it	2017	NOT_OK
the pianist	2002	valkyrie	2008	OK
quantum of solace	2008	spectre	2015	OK
saw	2004	saw ii	2005	OK
rambo	2008	the expendables	2010	OK
blade runner 2049	2017	the witch	2015	NOT_OK
bicycle thieves	1948	the double hour	2009	NOT_OK
the motorcycle diaries	2004	women on the verge of a nervous breakdown	1988	NOT_OK
saw	2004	saw iv	2007	OK
double indemnity	1944	vertigo	1958	OK
inside man	2006	jack reacher	2012	OK
avatar	2009	thor	2011	NOT_OK
taxi driver	1976	the silence of the lambs	1991	OK
goodfellas	1990	howards end	1992	NOT_OK
seven samurai	1954	ugetsu	1953	OK
entourage	2015	the grand budapest hotel	2014	NOT_OK
barbara	2012	the lives of others	2006	NOT_OK
guardians of the galaxy	2014	star wars: the force awakens	2015	OK
deadpool	2016	x-men: apocalypse	2016	OK
it's a wonderful life	1946	phenomenon	1996	NOT_OK
avatar	2009	star wars: the force awakens	2015	NOT_OK
chalet girl	2011	nights of cabiria	1957	NOT_OK
50/50	2011	the great dictator	1940	NOT_OK
a man called peter	1955	taxi driver	1976	NOT_OK
an american crime	2007	rush	2013	NOT_OK
horrible bosses 2	2014	tokyo story	1953	NOT_OK
children of men	2006	the sex monster	1999	NOT_OK
down missouri way	1946	titanic	1997	NOT_OK
the more the merrier	1943	thor: the dark world	2013	NOT_OK
criminally insane	1975	furious 7	2015	NOT_OK
joe dirt	2001	the graduate	1967	NOT_OK
are we there yet?	2005	die hard	1988	NOT_OK
k.g.f: chapter 1	2018	red sparrow	2018	NOT_OK
i got the hook-up	1998	some like it hot	1959	OK
hero	2002	under the skin	2013	NOT_OK
bicycle thieves	1948	the last circus	2010	NOT_OK
marked for death	1990	princess mononoke	1997	NOT_OK
on a clear day you can see forever	1970	twister	1996	NOT_OK
four sons	1928	spectre	2015	NOT_OK
back to the future	1985	what's your number?	2011	NOT_OK
godzilla	1998	home beyond the sun	2004	NOT_OK
some like it hot	1959	terminator: dark fate	2019	NOT_OK
make a wish	1937	pocahontas	1995	NOT_OK
apocalypse now	1979	once in a new moon	1935	NOT_OK
rocky	1976	the red shoes	1948	NOT_OK
a cinderella story	2004	call me by your name	2017	NOT_OK
method	2004	the lord of the rings: the return of the king	2003	NOT_OK
murder 3	2013	pretty woman	1990	NOT_OK
minions	2015	pooh's grand adventure: the search for christopher robin	1997	OK
princess mononoke	1997	the nice guys	2016	NOT_OK
dracula	1979	the apartment	1960	NOT_OK
2001: a space odyssey	1968	night of the demons 2	1994	NOT_OK
the lighthouse	2019	the slipper and the rose	1976	NOT_OK
dragon ball z: the return of cooler	1992	the lives of others	2006	NOT_OK
the ape man	1943	the passion of joan of arc	1928	NOT_OK
mission: impossible	1996	sunny	2008	NOT_OK
ashes and diamonds	1958	the howling: reborn	2011	NOT_OK
the lives of others	2006	the rhythm section	2020	NOT_OK
across 110th street	1972	spider-man: far from home	2019	NOT_OK
o	2001	the da vinci code	2006	NOT_OK
the aeronauts	2019	us	2019	NOT_OK
deadpool	2016	sissi	1955	NOT_OK
the hunger games	2012	tit for tat	1935	NOT_OK
ghostbusters	1984	the sky pilot	1921	NOT_OK
aliens	1986	king of the lost world	2005	NOT_OK
the people garden	2016	touch of evil	1958	NOT_OK
a bad moms christmas	2017	godzilla	1998	NOT_OK
indochine	1992	there will be blood	2007	NOT_OK
black panther	2018	the terminator	1984	NOT_OK
bicycle thieves	1948	piranha 3dd	2012	NOT_OK
freejack	1992	jojo rabbit	2019	NOT_OK
father of the bride part ii	1995	interstellar	2014	NOT_OK
porky's ii: the next day	1983	rocky	1976	NOT_OK
black panther	2018	judge dredd	1995	NOT_OK
sabrina	1995	star wars	1977	NOT_OK
the birth of a nation	1915	village of the damned	1995	NOT_OK
housekeeping	1987	us	2019	NOT_OK
american reunion	2012	first reformed	2017	NOT_OK
atlantis: the lost empire	2001	furious 7	2015	NOT_OK
her	2013	verboten!	1959	NOT_OK
a jewish girl in shanghai	2010	transformers	2007	NOT_OK
interstellar	2014	murder ahoy!	1964	NOT_OK
jurassic park	1993	the human centipede	2009	NOT_OK
it happened at the world's fair	1963	men in black	1997	NOT_OK
saving private ryan	1998	where the red fern grows	1974	NOT_OK
heartstopper	2006	the conjuring	2013	OK
amores perros	2000	buddy goes west	1981	NOT_OK
11-11-11	2011	minions	2015	NOT_OK
m	1931	sister act	1992	NOT_OK
restoration	2011	the grand budapest hotel	2014	NOT_OK
beauty and the beast	2014	hamilton	2006	NOT_OK
a separation	2011	state and main	2000	NOT_OK
born into brothels	2004	the shawshank redemption	1994	NOT_OK
dazed and confused	1993	despicable me	2010	NOT_OK
inception	2010	tears in the rain	1988	NOT_OK
gloria	1980	good time	2017	NOT_OK
fairy tail: dragon cry	2017	the lives of others	2006	NOT_OK
conan the barbarian	1982	wild tales	2014	NOT_OK
beauty and the beast	2014	phantom punch	2008	NOT_OK
inside man	2006	the rising of the moon	1957	NOT_OK
captain kidd and the slave girl	1954	the conjuring	2013	NOT_OK
love for sale	2008	portrait of a lady on fire	2019	NOT_OK
dil dhadakne do	2015	green book	2018	NOT_OK
freeway ii: confessions of a trickbaby	1999	the green mile	1999	NOT_OK
it's a wonderful life	1946	mister roberts	1955	NOT_OK
angel on my shoulder	1946	furious 7	2015	NOT_OK
1921	1988	the great dictator	1940	NOT_OK
mad max 2	1981	the dress	1996	NOT_OK
the da vinci code	2006	tim	1979	NOT_OK
rosemary's baby	1968	the pay-off	1930	NOT_OK
aadu puli	2011	it	2017	NOT_OK
bohemian rhapsody	2018	leprechaun 3	1995	NOT_OK
student bodies	1981	the da vinci code	2006	NOT_OK
crazy mama	1975	mad max 2	1981	NOT_OK
avengers: infinity war	2018	sex and the single girl	1964	NOT_OK
pardners	1956	the dark knight rises	2012	NOT_OK
life of pi	2012	someone's knocking at the door	2009	NOT_OK
aliens vs. predator: requiem	2007	beetlejuice	1988	NOT_OK
life of pi	2012	paper moon	1973	NOT_OK
impact	1963	the hunt	2012	OK
joker	2019	the skulls ii	2002	NOT_OK
coast of skeletons	1965	jaws	1975	NOT_OK
joker	2019	jump tomorrow	2001	NOT_OK
ace ventura: when nature calls	1995	puppet master iii: toulon's revenge	1991	NOT_OK
hideaways	2011	rush	2013	NOT_OK
drowned out	2002	man of steel	2013	NOT_OK
arike	2012	the pianist	2002	NOT_OK
on the other hand, death	2008	the motorcycle diaries	2004	NOT_OK
armageddon	1998	paranormal activity: the marked ones	2014	OK
sharp shooter	2015	the grand budapest hotel	2014	NOT_OK
raiders of the lost ark	1981	three to tango	1999	NOT_OK
seven samurai	1954	the keys of the kingdom	1944	OK
beneath the 12-mile reef	1953	parasite	2019	NOT_OK
all quiet on the western front	1930	continental divide	1981	NOT_OK
avatar	2009	the boost	1988	NOT_OK
going bye-bye!	1934	ted	2012	NOT_OK
saving private ryan	1998	the bamboo blonde	1946	NOT_OK
american sniper	2014	the grand budapest hotel	2014	NOT_OK
gone with the wind	1939	mr. right	2015	NOT_OK
executive action	1973	the gold rush	1925	NOT_OK
miss gold digger	2007	the motorcycle diaries	2004	NOT_OK
shampoo	1975	us	2019	NOT_OK
a lion is in the streets	1953	drive	2011	NOT_OK
50 first dates	2004	children of men	2006	NOT_OK
captain marvel	2019	max havoc: ring of fire	2006	NOT_OK
a company man	2012	pirates of the caribbean: the curse of the black pearl	2003	NOT_OK
crazy six	1998	the florida project	2017	NOT_OK
amadeus	1984	cesar's last fast	2014	NOT_OK
first reformed	2017	the power	1984	NOT_OK
the exorcist	1973	your friends & neighbors	1998	NOT_OK
apocalypse now	1979	something new	2006	NOT_OK
pirates of the caribbean: the curse of the black pearl	2003	plot for peace	2013	NOT_OK
death wish v: the face of death	1994	the graduate	1967	NOT_OK
batman	1989	the silence of the lambs	1991	NOT_OK
1917	2019	fast five	2011	NOT_OK
baghead	2008	there will be blood	2007	NOT_OK
patiala house	2011	the godfather	1972	NOT_OK
ashes and diamonds	1958	bread and tulips	2000	NOT_OK
the lighthouse	2019	tormented	2009	NOT_OK
heat	1995	the birth of a nation	1915	NOT_OK
green zone	2010	the rules of the game	1939	NOT_OK
call me by your name	2017	joy ride	2001	NOT_OK
city of god	2002	hydra	2009	NOT_OK
die hard	1988	the sense of wonder	2015	NOT_OK
the philadelphia story	1940	the pianist	2002	NOT_OK
chasing the dragon ii: wild wild bunch	2019	jaws	1975	NOT_OK
bohemian rhapsody	2018	high fidelity	2000	OK
a separation	2011	love & basketball	2000	NOT_OK
foxbat	1977	wild tales	2014	NOT_OK
keep an eye out	2018	rear window	1954	NOT_OK
hidden	2015	men in black	1997	NOT_OK
a knight's tale	2001	amadeus	1984	NOT_OK
one flew over the cuckoo's nest	1975	the life of emile zola	1937	NOT_OK
brokeback mountain	2005	getaway	2013	NOT_OK
bank alarm	1937	raiders of the lost ark	1981	NOT_OK
and soon the darkness	2010	avatar	2009	NOT_OK
diary of the dead	2007	man of steel	2013	NOT_OK
1917	2019	the scout	1994	NOT_OK
the green mile	1999	the killing of a chinese bookie	1976	NOT_OK
logan	2017	tees maar khan	2010	NOT_OK
jurassic park	1993	the killer elite	1975	NOT_OK
the motorcycle diaries	2004	where the wild things are	2009	NOT_OK
beauty and the beast	2014	the last legion	2007	NOT_OK
aquaman	2018	balto	1995	NOT_OK
back to the future	1985	our house	2018	NOT_OK
tehilim	2007	top gun	1986	NOT_OK
her	2013	quartet	1981	NOT_OK
aliens	1986	calendar girl	1947	NOT_OK
transformers	2007	wing commander	1999	NOT_OK
celtic pride	1996	top gun	1986	NOT_OK
psycho	1960	the warning	2015	OK
princess mononoke	1997	silent night, deadly night 5: the toy maker	1991	NOT_OK
a father's choice	2000	gravity	2013	NOT_OK
batman	1989	the day of the locust	1975	NOT_OK
prince avalanche	2013	rambo	2008	NOT_OK
dilim	2014	the sting	1973	NOT_OK
in good company	2004	red sparrow	2018	NOT_OK
birth	2004	drive	2011	NOT_OK
darkness falls	2003	ghostbusters	1984	NOT_OK
i'll always know what you did last summer	2006	life of pi	2012	NOT_OK
ran	1985	the messenger: the story of joan of arc	1999	NOT_OK
the spirit	2008	toy story	1995	NOT_OK
socket	2007	taxi driver	1976	NOT_OK
aquaman	2018	control	2007	NOT_OK
1917	2019	the devil's candy	2015	NOT_OK
marrowbone	2017	spider-man	2002	NOT_OK
2001: a space odyssey	1968	pippi longstocking	1969	NOT_OK
spirited away	2001	the wheeler dealers	1963	NOT_OK
presto	2008	toy story	1995	OK
a little bit of heaven	2011	city lights	1931	NOT_OK
death in love	2008	the rules of the game	1939	NOT_OK
casablanca	1942	ragini mms	2011	NOT_OK
corridors of blood	1958	inglourious basterds	2009	NOT_OK
curse of the komodo	2004	the terminator	1984	OK
northwest passage	1940	spirited away	2001	NOT_OK
the bodyguard	2004	the great dictator	1940	NOT_OK
dhoom	2004	goodfellas	1990	NOT_OK
